Tours,Valenciennes,4,1,-40.908378628563,,,3.1,3.07,2.8,1,,,,,,,,,,,,,,,21/10/16,,,,,,,,2.83,,2.89,,2.64
Troyes,BourgPeronnas,1,0,192.246356113505,,,2,3.5,4.8,1,,,,,,,,,,,,,,,21/10/16,,,,,,,,1.89,,3.29,,4.15
Lens,Reims,1,1,38.8287731593232,,,2.57,3.1,3.45,2,,,,,,,,,,,,,,,22/10/16,,,,,,,,2.43,,2.89,,3.12
Amiens,RedStar,0,0,-56.5465062433652,,,2.15,3.1,4.26,2,,,,,,,,,,,,,,,24/10/16,,,,,,,,2.07,,3,,3.82
Ajaccio,Laval,1,3,137.055929903899,,,2.21,3.05,4.85,3,,,,,,,,,,,,,,,28/10/16,,,,,,,,2.01,,2.93,,4.24
BourgPeronnas,AjaccioGFCO,1,0,22.5437638511057,,,3.27,3.05,2.65,1,,,,,,,,,,,,,,,28/10/16,,,,,,,,3.01,,2.89,,2.51
Orleans,Troyes,1,1,-90.015405472494,,,2.83,3.13,3,2,,,,,,,,,,,,,,,28/10/16,,,,,,,,2.64,,2.96,,2.78
RedStar,Tours,3,1,-19.3886303875099,,,2.32,3.05,3.97,1,,,,,,,,,,,,,,,28/10/16,,,,,,,,2.21,,2.93,,3.54
Reims,LeHavre,1,0,148.424255379853,,,2.3,3.35,4.13,1,,,,,,,,,,,,,,,28/10/16,,,,,,,,2.03,,3.17,,3.73
Valenciennes,Nimes,2,3,38.6503643641379,,,2.68,3.3,3.05,3,,,,,,,,,,,,,,,28/10/16,,,,,,,,2.46,,3.06,,2.92
Auxerre,Niort,0,4,10.3453673912131,,,2.44,3.1,3.59,3,,,,,,,,,,,,,,,29/10/16,,,,,,,,2.31,,2.96,,3.27
Clermont,Amiens,1,0,125.686371782254,,,2.6,3.07,3.38,1,,,,,,,,,,,,,,,29/10/16,,,,,,,,2.42,,2.95,,3.07
Sochaux,Strasbourg,1,2,173.354807436976,,,2.27,3.01,4.31,3,,,,,,,,,,,,,,,29/10/16,,,,,,,,2.17,,2.85,,3.78
Brest,Lens,1,2,90.0575564321084,,,2.6,2.97,3.42,3,,,,,,,,,,,,,,,31/10/16,,,,,,,,2.45,,2.86,,3.11
AjaccioGFCO,RedStar,2,1,25.7744047437061,,,1.95,3.3,5.38,1,,,,,,,,,,,,,,,04/11/16,,,,,,,,1.84,,3.12,,4.76
Amiens,Auxerre,0,0,-38.7786586585669,,,1.87,3.4,5.43,2,,,,,,,,,,,,,,,04/11/16,,,,,,,,1.81,,3.19,,4.75
BourgPeronnas,Orleans,0,0,148.358296824897,,,2.59,3.11,3.32,2,,,,,,,,,,,,,,,04/11/16,,,,,,,,2.42,,2.93,,3.11
Laval,LeHavre,0,2,-7.53110756445835,,,3.25,2.95,2.87,3,,,,,,,,,,,,,,,04/11/16,,,,,,,,2.95,,2.84,,2.59
Nimes,Clermont,1,1,61.8371601832805,,,2,3.5,4.3,2,,,,,,,,,,,,,,,04/11/16,,,,,,,,1.93,,3.3,,3.94
Niort,Sochaux,2,0,-27.3933875186149,,,2.92,2.94,3.1,1,,,,,,,,,,,,,,,04/11/16,,,,,,,,2.72,,2.79,,2.85
Tours,Brest,0,1,-15.9401896088971,,,2.97,3.01,2.84,3,,,,,,,,,,,,,,,04/11/16,,,,,,,,2.77,,2.88,,2.72
Troyes,Valenciennes,2,0,94.9752086380531,,,2.08,3.4,4.45,1,,,,,,,,,,,,,,,04/11/16,,,,,,,,2.01,,3.13,,3.86
Strasbourg,Reims,1,2,-80.3321037205897,,,2.58,3.06,3.4,3,,,,,,,,,,,,,,,05/11/16,,,,,,,,2.41,,2.91,,3.13
Lens,Ajaccio,1,1,108.492649494318,,,1.86,3.35,5.73,2,,,,,,,,,,,,,,,07/11/16,,,,,,,,1.78,,3.18,,4.97
Ajaccio,Strasbourg,2,0,162.245620582393,,,2.87,2.9,3.12,1,,,,,,,,,,,,,,,18/11/16,,,,,,,,2.68,,2.78,,2.91
Auxerre,Lens,1,1,-40.209291411074,,,3.27,3.04,2.65,2,,,,,,,,,,,,,,,18/11/16,,,,,,,,3.04,,2.9,,2.48
Clermont,AjaccioGFCO,3,1,102.860905880556,,,2.93,3.03,3.05,1,,,,,,,,,,,,,,,18/11/16,,,,,,,,2.68,,2.89,,2.8
Orleans,Nimes,2,1,-65.4514093064654,,,2.56,3.2,3.22,1,,,,,,,,,,,,,,,18/11/16,,,,,,,,2.42,,3.04,,3
RedStar,Troyes,1,2,-37.1945801283773,,,2.86,3,3.1,3,,,,,,,,,,,,,,,18/11/16,,,,,,,,2.61,,2.89,,2.89
Reims,Laval,0,2,223.091783677074,,,1.73,3.54,6.75,3,,,,,,,,,,,,,,,18/11/16,,,,,,,,1.68,,3.29,,5.76
Sochaux,Tours,2,1,73.5510200204612,,,1.93,3.4,5.35,1,,,,,,,,,,,,,,,18/11/16,,,,,,,,1.85,,3.13,,4.69
Valenciennes,BourgPeronnas,3,3,123.44600128967,,,2.1,3.4,4.93,2,,,,,,,,,,,,,,,18/11/16,,,,,,,,1.87,,3.22,,4.37
LeHavre,Amiens,0,0,199.493083614217,,,2.01,3.22,4.58,2,,,,,,,,,,,,,,,19/11/16,,,,,,,,1.95,,3.12,,4.1
Brest,Niort,2,3,94.945800350547,,,2.06,3.2,4.5,3,,,,,,,,,,,,,,,21/11/16,,,,,,,,1.98,,3.07,,4.06
AjaccioGFCO,Sochaux,0,1,15.4556117941816,,,2.57,2.9,3.8,3,,,,,,,,,,,,,,,25/11/16,,,,,,,,2.37,,2.74,,3.46
BourgPeronnas,RedStar,4,1,-10.0187773191681,,,2.5,3.1,3.55,1,,,,,,,,,,,,,,,25/11/16,,,,,,,,2.3,,2.98,,3.28
Lens,LeHavre,1,0,46.5848648124559,,,2.2,3.21,4.01,1,,,,,,,,,,,,,,,25/11/16,,,,,,,,2.11,,3.06,,3.65
Nimes,Reims,3,0,-17.4984303494496,,,2.84,3.27,2.85,1,,,,,,,,,,,,,,,25/11/16,,,,,,,,2.64,,3.04,,2.72
Niort,Ajaccio,1,1,41.8865622294679,,,2.32,3.01,4.02,2,,,,,,,,,,,,,,,25/11/16,,,,,,,,2.2,,2.89,,3.64
Orleans,Valenciennes,0,2,-46.4565514539472,,,2.23,3.14,3.95,3,,,,,,,,,,,,,,,25/11/16,,,,,,,,2.17,,3.01,,3.53
Strasbourg,Laval,1,0,-18.2063055664896,,,2.05,3.2,4.99,1,,,,,,,,,,,,,,,25/11/16,,,,,,,,1.94,,2.98,,4.45
Tours,Auxerre,2,1,-19.7245599580388,,,2.43,3.1,3.65,1,,,,,,,,,,,,,,,25/11/16,,,,,,,,2.25,,2.97,,3.39
Troyes,Clermont,1,0,122.384364740804,,,2.05,3.31,4.32,1,,,,,,,,,,,,,,,25/11/16,,,,,,,,1.98,,3.15,,3.97
Amiens,Brest,3,0,-51.8542851910186,,,2.42,3.2,3.54,1,,,,,,,,,,,,,,,26/11/16,,,,,,,,2.3,,3,,3.24
Reims,Niort,1,0,140.235394870367,,,1.87,3.45,5,1,,,,,,,,,,,,,,,28/11/16,,,,,,,,1.81,,3.31,,4.48
Ajaccio,Amiens,1,1,157.617492336879,,,2.67,3,3.28,2,,,,,,,,,,,,,,,29/11/16,,,,,,,,2.47,,2.86,,3.11
Auxerre,Nimes,2,0,19.9808163150551,,,3.2,3.23,2.86,1,,,,,,,,,,,,,,,29/11/16,,,,,,,,2.8,,3.03,,2.57
Brest,Troyes,2,1,71.0671206476941,,,2.36,3.15,4.05,1,,,,,,,,,,,,,,,29/11/16,,,,,,,,2.13,,3.04,,3.62
Clermont,Tours,0,0,88.2966979812441,,,2.09,3.2,4.3,2,,,,,,,,,,,,,,,29/11/16,,,,,,,,2.01,,3.11,,3.89
Laval,Lens,0,1,-37.9207590728106,,,3.38,2.95,2.59,3,,,,,,,,,,,,,,,29/11/16,,,,,,,,3.14,,2.85,,2.45
LeHavre,Strasbourg,0,1,205.037529612875,,,2.05,3.2,4.9,3,,,,,,,,,,,,,,,29/11/16,,,,,,,,1.97,,3.02,,4.24
RedStar,Orleans,1,0,125.476335629689,,,2.53,3.01,3.44,1,,,,,,,,,,,,,,,29/11/16,,,,,,,,2.38,,2.9,,3.2
Sochaux,BourgPeronnas,1,1,165.640099344889,,,1.95,3.27,5.23,2,,,,,,,,,,,,,,,29/11/16,,,,,,,,1.86,,3.13,,4.6
Valenciennes,AjaccioGFCO,0,0,69.1738593880991,,,2.89,3,3.16,2,,,,,,,,,,,,,,,29/11/16,,,,,,,,2.63,,2.82,,2.92
AjaccioGFCO,Ajaccio,4,1,51.5175907597964,,,2.2,3.01,4.36,1,,,,,,,,,,,,,,,09/12/16,,,,,,,,2.11,,2.92,,3.9
Amiens,Sochaux,0,1,-70.7496963472397,,,2.44,3,3.72,3,,,,,,,,,,,,,,,09/12/16,,,,,,,,2.3,,2.88,,3.42
BourgPeronnas,Clermont,1,1,24.9743886900239,,,2.5,3.21,3.32,2,,,,,,,,,,,,,,,09/12/16,,,,,,,,2.37,,3.05,,3.09
Nimes,Brest,1,2,53.3053282075714,,,2.64,3.23,3.15,3,,,,,,,,,,,,,,,09/12/16,,,,,,,,2.48,,3.05,,2.93
Niort,LeHavre,1,1,-6.50388962145144,,,2.79,3.02,3.09,2,,,,,,,,,,,,,,,09/12/16,,,,,,,,2.63,,2.92,,2.86
