Niort,Orleans,1,1,D,,,2.02,3.3,4.85,2,,,,,,,,17/10/14,,,,,,,,,,,,,,,,,,1.95,,3.12,,4.17
Tours,Nimes,1,2,A,,,2.32,3.1,4,3,,,,,,,,17/10/14,,,,,,,,,,,,,,,,,,2.19,,3,,3.53
Creteil,Troyes,1,1,D,,,2.68,3.25,3.03,2,,,,,,,,18/10/14,,,,,,,,,,,,,,,,,,2.54,,3.03,,2.85
Valenciennes,Dijon,0,3,A,,,3.14,3.25,2.69,3,,,,,,,,20/10/14,,,,,,,,,,,,,,,,,,2.95,,2.97,,2.49
Ajaccio,Valenciennes,2,1,H,,,2.2,3.2,4.45,1,,,,,,,,24/10/14,,,,,,,,,,,,,,,,,,2.07,,3.05,,3.83
Angers,Clermont,3,0,H,,,2.05,3.39,4.55,1,,,,,,,,24/10/14,,,,,,,,,,,,,,,,,,1.95,,3.17,,4.08
Arles,Niort,1,0,H,,,2.6,3.05,3.5,1,,,,,,,,24/10/14,,,,,,,,,,,,,,,,,,2.42,,2.93,,3.14
Brest,AjaccioGFCO,3,0,H,,,2.04,3.2,4.85,1,,,,,,,,24/10/14,,,,,,,,,,,,,,,,,,1.96,,3.1,,4.18
Chateauroux,Tours,2,1,H,,,2.78,3.05,3.2,1,,,,,,,,24/10/14,,,,,,,,,,,,,,,,,,2.57,,2.92,,2.92
Nimes,Auxerre,0,1,A,,,2.32,3.1,3.8,3,,,,,,,,24/10/14,,,,,,,,,,,,,,,,,,2.23,,3.02,,3.4
Orleans,Creteil,1,1,D,,,2.22,3.25,3.98,2,,,,,,,,24/10/14,,,,,,,,,,,,,,,,,,2.14,,3.09,,3.54
Sochaux,Laval,1,1,D,,,2.23,3.15,4.2,2,,,,,,,,24/10/14,,,,,,,,,,,,,,,,,,2.15,,3.03,,3.6
Troyes,Dijon,1,0,H,,,2.25,3.2,4,1,,,,,,,,25/10/14,,,,,,,,,,,,,,,,,,2.16,,3.02,,3.53
Nancy,LeHavre,2,1,H,,,2.18,3.25,4.23,1,,,,,,,,27/10/14,,,,,,,,,,,,,,,,,,2.08,,3.07,,3.73
AjaccioGFCO,Chateauroux,1,0,H,,,1.73,3.65,7.09,1,,,,,,,,31/10/14,,,,,,,,,,,,,,,,,,1.63,,3.4,,6.03
Auxerre,Brest,0,3,A,,,2.66,3,3.45,3,,,,,,,,31/10/14,,,,,,,,,,,,,,,,,,2.44,,2.86,,3.19
Clermont,Nimes,3,0,H,,,2.1,3.2,4.94,1,,,,,,,,31/10/14,,,,,,,,,,,,,,,,,,1.98,,3.08,,4.11
Creteil,Sochaux,1,2,A,,,2.35,3.15,3.9,3,,,,,,,,31/10/14,,,,,,,,,,,,,,,,,,2.21,,3.01,,3.45
Dijon,Ajaccio,3,0,H,,,1.8,3.5,6.6,1,,,,,,,,31/10/14,,,,,,,,,,,,,,,,,,1.71,,3.28,,5.48
Laval,Tours,2,1,H,,,1.93,3.3,5.6,1,,,,,,,,31/10/14,,,,,,,,,,,,,,,,,,1.85,,3.15,,4.7
LeHavre,Arles,2,0,H,,,1.93,3.25,5.31,1,,,,,,,,31/10/14,,,,,,,,,,,,,,,,,,1.87,,3.12,,4.59
Troyes,Orleans,1,0,H,,,1.75,3.55,6.55,1,,,,,,,,31/10/14,,,,,,,,,,,,,,,,,,1.71,,3.33,,5.37
Niort,Nancy,1,4,A,,,2.24,3.2,4.1,3,,,,,,,,01/11/14,,,,,,,,,,,,,,,,,,2.12,,3.02,,3.73
Valenciennes,Angers,1,0,H,,,2.78,3.15,3.1,1,,,,,,,,03/11/14,,,,,,,,,,,,,,,,,,2.58,,2.96,,2.84
Ajaccio,Troyes,2,1,H,,,2.94,3.1,2.9,1,,,,,,,,07/11/14,,,,,,,,,,,,,,,,,,2.77,,2.94,,2.7
Angers,Dijon,1,0,H,,,2.58,3.1,3.55,1,,,,,,,,07/11/14,,,,,,,,,,,,,,,,,,2.43,,2.92,,3.13
Arles,Valenciennes,1,2,A,,,2.18,3.2,4.4,3,,,,,,,,07/11/14,,,,,,,,,,,,,,,,,,2.09,,3.04,,3.78
Chateauroux,Laval,1,1,D,,,3.21,3.1,2.77,2,,,,,,,,07/11/14,,,,,,,,,,,,,,,,,,2.97,,2.88,,2.59
Nimes,Niort,3,2,H,,,2.54,3.1,3.41,1,,,,,,,,07/11/14,,,,,,,,,,,,,,,,,,2.36,,2.98,,3.18
Orleans,Clermont,2,1,H,,,2.05,3.2,4.85,1,,,,,,,,07/11/14,,,,,,,,,,,,,,,,,,2,,3.04,,4.12
Sochaux,AjaccioGFCO,2,1,H,,,2.05,3.1,5.3,1,,,,,,,,07/11/14,,,,,,,,,,,,,,,,,,2,,2.93,,4.35
Tours,Auxerre,2,3,A,,,2.64,3,3.51,3,,,,,,,,07/11/14,,,,,,,,,,,,,,,,,,2.47,,2.88,,3.13
Brest,LeHavre,1,0,H,,,2.1,3.2,4.89,1,,,,,,,,08/11/14,,,,,,,,,,,,,,,,,,2,,3.06,,4.08
Nancy,Creteil,3,1,H,,,1.91,3.6,5,1,,,,,,,,10/11/14,,,,,,,,,,,,,,,,,,1.86,,3.3,,4.26
Ajaccio,Angers,1,1,D,,,2.47,3.1,3.65,2,,,,,,,,21/11/14,,,,,,,,,,,,,,,,,,2.31,,2.97,,3.27
AjaccioGFCO,Laval,1,0,H,,,2.3,3.1,4.03,1,,,,,,,,21/11/14,,,,,,,,,,,,,,,,,,2.18,,2.94,,3.63
Auxerre,Chateauroux,3,1,H,,,1.85,3.55,6.11,1,,,,,,,,21/11/14,,,,,,,,,,,,,,,,,,1.72,,3.31,,5.19
Clermont,Arles,3,1,H,,,2.2,3.2,4.3,1,,,,,,,,21/11/14,,,,,,,,,,,,,,,,,,2.09,,3.05,,3.75
Creteil,Nimes,2,0,H,,,2.1,3.5,4.33,1,,,,,,,,21/11/14,,,,,,,,,,,,,,,,,,1.97,,3.22,,3.91
Dijon,Orleans,2,1,H,,,1.7,3.7,7.09,1,,,,,,,,21/11/14,,,,,,,,,,,,,,,,,,1.63,,3.41,,5.98
Niort,Tours,1,1,D,,,1.91,3.4,5.5,2,,,,,,,,21/11/14,,,,,,,,,,,,,,,,,,1.84,,3.18,,4.64
Valenciennes,Brest,0,1,A,,,3.05,3.1,2.81,3,,,,,,,,21/11/14,,,,,,,,,,,,,,,,,,2.82,,2.92,,2.65
