Lille,SaintEtienne,1,1,,,,2.66,3.1,3.3,2,,,2.52,2.95,3.09,,,,,,,,,,,,,,,01/11/14
Lorient,PSG,1,2,,,,8.2,4.33,1.53,3,,,7.25,4.04,1.48,,,,,,,,,,,,,,,01/11/14
Metz,Caen,3,2,,,,2.64,3.3,3.1,1,,,2.5,3.09,2.96,,,,,,,,,,,,,,,01/11/14
Montpellier,ETG,2,0,,,,2.07,3.4,4.6,1,,,1.98,3.19,4.14,,,,,,,,,,,,,,,01/11/14
Nice,Lyon,1,3,,,,3.4,3.3,2.48,3,,,3.16,3.18,2.33,,,,,,,,,,,,,,,01/11/14
Bordeaux,Toulouse,2,1,,,,2.32,3.4,3.75,1,,,2.21,3.22,3.37,,,,,,,,,,,,,,,02/11/14
Marseille,Lens,2,1,,,,1.33,6,15,1,,,1.26,5.45,11.72,,,,,,,,,,,,,,,02/11/14
Nantes,Rennes,1,1,,,,2.21,3.2,4.5,2,,,2.1,3.08,3.87,,,,,,,,,,,,,,,02/11/14
Rennes,Lorient,1,0,,,,2.08,3.35,4.42,1,,,2,3.23,4.03,,,,,,,,,,,,,,,07/11/14
Bastia,Montpellier,2,0,,,,2.64,3.2,3.2,1,,,2.5,3.08,2.98,,,,,,,,,,,,,,,08/11/14
Caen,Nantes,1,2,,,,2.54,3.2,3.4,3,,,2.41,3.07,3.13,,,,,,,,,,,,,,,08/11/14
ETG,Nice,1,0,,,,2.54,3.2,3.41,1,,,2.43,3.03,3.13,,,,,,,,,,,,,,,08/11/14
Lens,Bordeaux,1,2,,,,3.75,3.31,2.32,3,,,3.44,3.2,2.19,,,,,,,,,,,,,,,08/11/14
Toulouse,Metz,3,0,,,,1.75,3.8,6.02,1,,,1.67,3.6,5.45,,,,,,,,,,,,,,,08/11/14
Lyon,Guingamp,3,1,,,,1.53,4.5,8.5,1,,,1.48,4.04,7.36,,,,,,,,,,,,,,,09/11/14
PSG,Marseille,2,0,,,,1.7,4.1,5.75,1,,,1.65,3.8,5.21,,,,,,,,,,,,,,,09/11/14
Reims,Lille,2,0,,,,4.1,3.3,2.3,1,,,3.67,3.06,2.17,,,,,,,,,,,,,,,09/11/14
SaintEtienne,Monaco,1,1,,,,2.45,3.3,3.6,2,,,2.32,3.08,3.29,,,,,,,,,,,,,,,09/11/14
Metz,PSG,2,3,,,,8,4.53,1.53,3,,,7.19,4.19,1.48,,,,,,,,,,,,,,,21/11/14
Bastia,Lyon,0,0,,,,4.02,3.45,2.15,2,,,3.67,3.3,2.06,,,,,,,,,,,,,,,22/11/14
Guingamp,Rennes,0,1,,,,2.8,3.3,3.1,3,,,2.61,3,2.93,,,,,,,,,,,,,,,22/11/14
Lorient,Lens,1,0,,,,1.91,3.55,5.1,1,,,1.83,3.41,4.57,,,,,,,,,,,,,,,22/11/14
Monaco,Caen,2,2,,,,1.67,4,7,2,,,1.62,3.7,5.87,,,,,,,,,,,,,,,22/11/14
Nice,Reims,0,0,,,,2.05,3.45,4.46,2,,,1.96,3.29,4.07,,,,,,,,,,,,,,,22/11/14
Marseille,Bordeaux,3,1,,,,1.7,3.9,6.55,1,,,1.62,3.73,5.75,,,,,,,,,,,,,,,23/11/14
Montpellier,Toulouse,2,0,,,,2.75,3.25,3.1,1,,,2.56,3.09,2.89,,,,,,,,,,,,,,,23/11/14
Nantes,SaintEtienne,0,0,,,,2.94,3.3,2.93,2,,,2.77,2.98,2.77,,,,,,,,,,,,,,,23/11/14
Marseille,Nantes,2,0,,,,1.6,4,7.6,1,,,1.54,3.86,6.86,,,,,,,,,,,,,,,28/11/14
Caen,Montpellier,1,1,,,,2.5,3.25,3.6,2,,,2.31,3.13,3.27,,,,,,,,,,,,,,,29/11/14
Lens,Metz,2,0,,,,2.7,3.19,3.3,1,,,2.57,3.06,2.92,,,,,,,,,,,,,,,29/11/14
PSG,Nice,1,0,,,,1.24,7.5,19,1,,,1.2,6.44,14.72,,,,,,,,,,,,,,,29/11/14
Reims,Bastia,2,1,,,,2.25,3.3,3.98,1,,,2.13,3.17,3.63,,,,,,,,,,,,,,,29/11/14
Rennes,Monaco,2,0,,,,3,3.3,2.8,1,,,2.84,3.09,2.62,,,,,,,,,,,,,,,29/11/14
Toulouse,Lorient,2,3,,,,1.85,3.65,5.5,3,,,1.78,3.43,4.93,,,,,,,,,,,,,,,29/11/14
Bordeaux,Lille,1,0,,,,2.32,3.3,4,1,,,2.21,3.11,3.54,,,,,,,,,,,,,,,30/11/14
ETG,Guingamp,2,0,,,,2.27,3.3,3.9,1,,,2.2,3.1,3.56,,,,,,,,,,,,,,,30/11/14
SaintEtienne,Lyon,3,0,,,,2.5,3.3,3.45,1,,,2.37,3.14,3.14,,,,,,,,,,,,,,,30/11/14
Lorient,Marseille,1,1,,,,4.5,3.6,2,2,,,4.04,3.45,1.93,,,,,,,,,,,,,,,02/12/14
Monaco,Lens,2,0,,,,1.47,4.8,10,1,,,1.41,4.36,8.43,,,,,,,,,,,,,,,02/12/14
Nantes,Toulouse,1,2,,,,2.3,3.27,3.94,3,,,2.18,3.15,3.57,,,,,,,,,,,,,,,02/12/14
Bastia,ETG,1,2,,,,2.44,3.2,3.57,3,,,2.32,3.11,3.27,,,,,,,,,,,,,,,03/12/14
Guingamp,Caen,5,1,,,,2.72,3.22,3,1,,,2.58,3.12,2.86,,,,,,,,,,,,,,,03/12/14
Lille,PSG,1,1,,,,6.02,3.8,1.75,2,,,5.52,3.57,1.67,,,,,,,,,,,,,,,03/12/14
Metz,Bordeaux,0,0,,,,2.8,3.25,2.92,2,,,2.66,3.1,2.79,,,,,,,,,,,,,,,03/12/14
Montpellier,SaintEtienne,0,2,,,,3.3,3.2,2.6,3,,,3.08,3.06,2.45,,,,,,,,,,,,,,,03/12/14
Nice,Rennes,1,2,,,,2.8,3.2,2.97,3,,,2.67,3.06,2.79,,,,,,,,,,,,,,,03/12/14
Lyon,Reims,2,1,,,,1.54,4.5,8,1,,,1.49,4.15,6.93,,,,,,,,,,,,,,,04/12/14
Toulouse,Monaco,0,2,,,,2.84,3.24,2.9,3,,,2.71,3.11,2.74,,,,,,,,,,,,,,,05/12/14
Bordeaux,Lorient,3,2,,,,1.93,3.7,4.8,1,,,1.87,3.44,4.32,,,,,,,,,,,,,,,06/12/14
Caen,Nice,2,3,,,,2.2,3.55,4.24,3,,,2.01,3.29,3.88,,,,,,,,,,,,,,,06/12/14
PSG,Nantes,2,1,,,,1.33,5.9,14,1,,,1.28,5.29,11.26,,,,,,,,,,,,,,,06/12/14
Rennes,Montpellier,0,4,,,,2.1,3.4,4.33,3,,,2.03,3.25,3.86,,,,,,,,,,,,,,,06/12/14
SaintEtienne,Bastia,1,0,,,,1.5,4.3,9.2,1,,,1.46,4.02,8.12,,,,,,,,,,,,,,,06/12/14
ETG,Lyon,2,3,,,,3.8,3.38,2.28,3,,,3.43,3.23,2.17,,,,,,,,,,,,,,,07/12/14
Lens,Lille,1,1,,,,4.39,3.35,2.1,2,,,4.06,3.17,2,,,,,,,,,,,,,,,07/12/14
Marseille,Metz,3,1,,,,1.45,5,9,1,,,1.4,4.48,7.93,,,,,,,,,,,,,,,07/12/14
Reims,Guingamp,2,3,,,,2.34,3.3,3.9,3,,,2.22,3.1,3.46,,,,,,,,,,,,,,,07/12/14
Lyon,Caen,3,0,,,,1.51,4.82,8,1,,,1.47,4.39,6.77,,,,,,,,,,,,,,,12/12/14
Bastia,Rennes,2,0,,,,3.13,3.2,2.73,1,,,2.94,3.05,2.55,,,,,,,,,,,,,,,13/12/14
Lorient,Metz,3,1,,,,1.99,3.5,4.6,1,,,1.92,3.34,4.2,,,,,,,,,,,,,,,13/12/14
Montpellier,Lens,3,3,,,,1.86,3.6,5.7,2,,,1.79,3.42,4.82,,,,,,,,,,,,,,,13/12/14
Nantes,Bordeaux,2,1,,,,2.4,3.25,3.86,1,,,2.21,3.1,3.53,,,,,,,,,,,,,,,13/12/14
Reims,ETG,3,2,,,,2.25,3.3,3.95,1,,,2.17,3.14,3.57,,,,,,,,,,,,,,,13/12/14
Guingamp,PSG,1,0,,,,8.6,4.6,1.5,1,,,7.57,4.17,1.46,,,,,,,,,,,,,,,14/12/14
Lille,Toulouse,3,0,,,,2.14,3.35,4.4,1,,,2.05,3.13,3.99,,,,,,,,,,,,,,,14/12/14
Monaco,Marseille,1,0,,,,2.75,3.35,2.9,1,,,2.62,3.17,2.77,,,,,,,,,,,,,,,14/12/14
Nice,SaintEtienne,0,0,,,,3.5,3.2,2.5,2,,,3.29,3.05,2.35,,,,,,,,,,,,,,,14/12/14
Lens,Nice,2,0,,,,2.5,3.26,3.31,1,,,2.42,3.13,3.08,,,,,,,,,,,,,,,19/12/14
Caen,Bastia,1,1,,,,2.05,3.48,4.4,2,,,1.96,3.33,4.04,,,,,,,,,,,,,,,20/12/14
Lorient,Nantes,1,2,,,,2.5,3.3,3.6,3,,,2.3,3.12,3.29,,,,,,,,,,,,,,,20/12/14
Metz,Monaco,0,1,,,,4,3.35,2.2,3,,,3.65,3.24,2.11,,,,,,,,,,,,,,,20/12/14
PSG,Montpellier,0,0,,,,1.29,6.41,17,2,,,1.24,5.78,12.63,,,,,,,,,,,,,,,20/12/14
Rennes,Reims,1,3,,,,1.92,3.54,5.4,3,,,1.83,3.37,4.64,,,,,,,,,,,,,,,20/12/14
Toulouse,Guingamp,1,1,,,,2,3.5,4.7,2,,,1.92,3.34,4.17,,,,,,,,,,,,,,,20/12/14
Bordeaux,Lyon,0,5,,,,2.65,3.3,3.1,3,,,2.52,3.17,2.89,,,,,,,,,,,,,,,21/12/14
Marseille,Lille,2,1,,,,1.71,3.9,6.5,1,,,1.65,3.61,5.7,,,,,,,,,,,,,,,21/12/14
SaintEtienne,ETG,3,0,,,,1.55,4.15,9,1,,,1.49,3.84,7.82,,,,,,,,,,,,,,,21/12/14
Lille,ETG,1,0,,,,1.75,3.7,6.5,1,,,1.68,3.51,5.6,,,,,,,,,,,,,,,07/01/15
Montpellier,Marseille,2,1,,,,4.42,3.45,2.2,1,,,4.04,3.31,1.97,,,,,,,,,,,,,,,09/01/15
Bastia,PSG,4,2,,,,9.7,4.8,1.47,1,,,7.9,4.4,1.42,,,,,,,,,,,,,,,10/01/15
ETG,Rennes,1,1,,,,2.8,3.25,2.92,2,,,2.67,3.11,2.76,,,,,,,,,,,,,,,10/01/15
Guingamp,Lens,2,0,,,,2.1,3.4,4.3,1,,,2,3.26,3.95,,,,,,,,,,,,,,,10/01/15
Lille,Caen,1,0,,,,1.87,3.51,5.29,1,,,1.81,3.38,4.76,,,,,,,,,,,,,,,10/01/15
Nice,Lorient,3,1,,,,2.5,3.28,3.7,1,,,2.24,3.19,3.34,,,,,,,,,,,,,,,10/01/15
Reims,SaintEtienne,1,2,,,,4.1,3.3,2.2,3,,,3.76,3.19,2.09,,,,,,,,,,,,,,,10/01/15
Lyon,Toulouse,3,0,,,,1.65,4.2,6.9,1,,,1.57,3.9,5.96,,,,,,,,,,,,,,,11/01/15
Monaco,Bordeaux,0,0,,,,1.8,3.6,5.87,2,,,1.74,3.47,5.11,,,,,,,,,,,,,,,11/01/15
Nantes,Metz,0,0,,,,1.85,3.65,5.5,2,,,1.77,3.42,4.94,,,,,,,,,,,,,,,11/01/15
Bordeaux,Nice,1,2,,,,2.05,3.45,4.6,3,,,1.96,3.28,4.09,,,,,,,,,,,,,,,16/01/15
Caen,Reims,4,1,,,,2.3,3.4,3.6,1,,,2.22,3.26,3.32,,,,,,,,,,,,,,,17/01/15
Lens,Lyon,0,2,,,,4.9,3.65,1.91,3,,,4.46,3.43,1.83,,,,,,,,,,,,,,,17/01/15
Lorient,Lille,1,0,,,,2.9,3.15,2.94,1,,,2.72,3.04,2.75,,,,,,,,,,,,,,,17/01/15
Metz,Montpellier,2,3,,,,2.5,3.2,3.3,3,,,2.43,3.08,3.09,,,,,,,,,,,,,,,17/01/15
Monaco,Nantes,1,0,,,,1.72,3.8,7.23,1,,,1.6,3.62,6.24,,,,,,,,,,,,,,,17/01/15
Toulouse,Bastia,1,1,,,,1.95,3.5,4.78,2,,,1.87,3.34,4.41,,,,,,,,,,,,,,,17/01/15
Marseille,Guingamp,2,1,,,,1.48,4.7,9.4,1,,,1.42,4.45,7.76,,,,,,,,,,,,,,,18/01/15
PSG,ETG,4,2,,,,1.2,8.2,23,1,,,1.17,7.07,16.63,,,,,,,,,,,,,,,18/01/15
Rennes,SaintEtienne,0,0,,,,3.35,3.2,2.65,2,,,3,3,2.55,,,,,,,,,,,,,,,18/01/15
Nice,Marseille,2,1,,,,3.87,3.45,2.3,1,,,3.5,3.32,2.13,,,,,,,,,,,,,,,23/01/15
