Nice,Montpellier,1,0,19.2712003548891,,,2.42,3.31,3.35,1,,,2.35,3.19,3.15,,,,,,18/12/15
Bastia,Reims,2,0,85.2840195302897,,,2.5,3.25,3.35,1,,,2.4,3.08,3.14,,,,,,19/12/15
Caen,PSG,0,3,-250.42404392964,,,8,4.6,1.53,3,,,7.14,4.2,1.47,,,,,,19/12/15
Guingamp,Rennes,0,2,-9.8589601061924,,,2.6,3.11,3.3,3,,,2.46,3,3.12,,,,,,19/12/15
Lorient,Nantes,0,0,75.0114783796098,,,2.3,3.3,3.8,2,,,2.2,3.13,3.48,,,,,,19/12/15
Toulouse,Lille,1,1,-0.074567246028437,,,2.56,3.2,3.22,2,,,2.47,3.06,3.04,,,,,,19/12/15
Troyes,Monaco,0,0,-175.351280677538,,,4.5,3.6,1.95,2,,,4.15,3.41,1.91,,,,,,19/12/15
Ajaccio,Lyon,2,1,-202.5948135718,,,3.4,3.4,2.39,1,,,3.22,3.22,2.28,,,,,,20/12/15
Bordeaux,Marseille,1,1,47.2423442752859,,,2.9,3.3,2.75,2,,,2.77,3.15,2.63,,,,,,20/12/15
SaintEtienne,Angers,1,0,207.158315440999,,,1.93,3.4,5.2,1,,,1.88,3.23,4.59,,,,,,20/12/15
PSG,Bastia,2,0,416.592080180977,,,1.12,12.15,45.68,1,,,1.09,9.58,27.17,,,,,,08/01/16
Angers,Caen,2,0,-10.177610998526,,,2.6,3.15,3.3,1,,,2.45,3.01,3.14,,,,,,09/01/16
Lyon,Troyes,4,1,226.04781658744,,,1.4,5.44,10.88,1,,,1.34,4.96,9.02,,,,,,09/01/16
Monaco,Ajaccio,2,2,279.918495527558,,,1.65,4,7.5,2,,,1.6,3.76,6.09,,,,,,09/01/16
Montpellier,Bordeaux,0,1,54.6294970041067,,,2.43,3.2,3.45,3,,,2.34,3.09,3.26,,,,,,09/01/16
Reims,Toulouse,1,3,98.8084965088824,,,2.63,3.3,3.01,3,,,2.54,3.15,2.88,,,,,,09/01/16
Rennes,Lorient,2,2,26.9786098125185,,,2,3.4,4.59,2,,,1.97,3.27,4.13,,,,,,09/01/16
Lille,Nice,1,1,134.890975548469,,,1.91,3.49,4.87,2,,,1.87,3.32,4.49,,,,,,10/01/16
Marseille,Guingamp,0,0,158.941260799815,,,1.67,4,6.5,2,,,1.62,3.71,5.83,,,,,,10/01/16
Nantes,SaintEtienne,2,1,-48.3176866480576,,,2.8,3.1,3.2,1,,,2.57,2.96,3,,,,,,10/01/16
Nice,Angers,2,1,58.1633327764589,,,2.2,3.22,4.25,1,,,2.1,3.09,3.91,,,,,,15/01/16
Ajaccio,Reims,2,2,-32.2839104410887,,,2.2,3.34,4.08,2,,,2.1,3.19,3.72,,,,,,16/01/16
Bastia,Montpellier,1,0,72.2655840234625,,,2.85,3.15,2.91,1,,,2.71,3,2.8,,,,,,16/01/16
Bordeaux,Lille,1,0,88.4670954044714,,,2.5,3.15,3.48,1,,,2.39,3,3.25,,,,,,16/01/16
Guingamp,Nantes,2,2,33.5173481551842,,,2.5,3.15,3.44,2,,,2.4,3.02,3.22,,,,,,16/01/16
Toulouse,PSG,0,1,-226.215162514866,,,8.25,4.8,1.47,3,,,7.49,4.5,1.43,,,,,,16/01/16
Troyes,Rennes,2,4,-50.2404239554628,,,3.75,3.41,2.25,3,,,3.45,3.27,2.16,,,,,,16/01/16
Caen,Marseille,1,3,-75.8589342536729,,,3.1,3.3,2.65,3,,,2.89,3.18,2.51,,,,,,17/01/16
Lorient,Monaco,0,2,-107.844322511252,,,3.1,3.25,2.62,3,,,2.92,3.14,2.52,,,,,,17/01/16
SaintEtienne,Lyon,1,0,84.8634550105598,,,2.88,3.3,2.8,1,,,2.73,3.17,2.66,,,,,,17/01/16
Rennes,Ajaccio,1,0,160.434216916025,,,1.95,3.5,4.75,1,,,1.9,3.33,4.37,,,,,,22/01/16
Guingamp,Bastia,1,0,73.95594937483,,,2,3.4,5.5,1,,,1.83,3.24,4.92,,,,,,23/01/16
Lille,Troyes,1,3,216.087744490598,,,1.5,4.8,9.8,3,,,1.4,4.42,8.65,,,,,,23/01/16
Montpellier,Caen,1,2,41.1405368264557,,,2.3,3.31,3.75,3,,,2.2,3.19,3.45,,,,,,23/01/16
Nantes,Bordeaux,2,2,29.1038112976983,,,2.53,3.2,3.3,2,,,2.44,3.05,3.12,,,,,,23/01/16
Nice,Lorient,2,1,26.87318225743,,,2.1,3.6,4.85,1,,,1.87,3.4,4.35,,,,,,23/01/16
PSG,Angers,5,1,396.250444005629,,,1.21,7.5,23,1,,,1.18,6.54,17.58,,,,,,23/01/16
Lyon,Marseille,1,1,73.6338641681114,,,2.3,3.4,3.67,2,,,2.21,3.24,3.35,,,,,,24/01/16
Monaco,Toulouse,4,0,207.849118210345,,,1.91,3.51,4.79,1,,,1.88,3.39,4.33,,,,,,24/01/16
