Sevilla,AthBilbao,1,1,,,,,,,2,,03/01/2020,20:00
Valencia,Eibar,1,0,,,,,,,1,,04/01/2020,12:00
Getafe,RealMadrid,0,3,,,,,,,3,,04/01/2020,15:00
AthMadrid,Levante,2,1,,,,,,,1,,04/01/2020,17:30
Espanol,Barcelona,2,2,,,,,,,2,,04/01/2020,20:00
Granada,Mallorca,1,0,,,,,,,1,,05/01/2020,11:00
Sociedad,Villarreal,1,2,,,,,,,3,,05/01/2020,13:00
Alaves,Betis,1,1,,,,,,,2,,05/01/2020,15:00
Celta,Osasuna,1,1,,,,,,,2,,05/01/2020,20:00
Leganes,Getafe,0,3,,,,,,,3,,17/01/2020,20:00
Levante,Alaves,0,1,,,,,,,3,,18/01/2020,12:00
RealMadrid,Sevilla,2,1,,,,,,,1,,18/01/2020,15:00
Osasuna,Valladolid,0,0,,,,,,,2,,18/01/2020,17:30
Eibar,AthMadrid,2,0,,,,,,,1,,18/01/2020,20:00
Mallorca,Valencia,4,1,,,,,,,1,,19/01/2020,11:00
Betis,Sociedad,3,0,,,,,,,1,,19/01/2020,13:00
Villarreal,Espanol,1,2,,,,,,,3,,19/01/2020,15:00
AthBilbao,Celta,1,1,,,,,,,2,,19/01/2020,17:30
Barcelona,Granada,1,0,,,,,,,1,,19/01/2020,20:00
Osasuna,Levante,2,0,,,,,,,1,,24/01/2020,20:00
Espanol,AthBilbao,1,1,,,,,,,2,,25/01/2020,12:00
Valencia,Barcelona,2,0,,,,,,,1,,25/01/2020,15:00
Alaves,Villarreal,1,2,,,,,,,3,,25/01/2020,17:30
Sevilla,Granada,2,0,,,,,,,1,,25/01/2020,20:00
AthMadrid,Leganes,0,0,,,,,,,2,,26/01/2020,11:00
Celta,Eibar,0,0,,,,,,,2,,26/01/2020,13:00
Getafe,Betis,1,0,,,,,,,1,,26/01/2020,15:00
Sociedad,Mallorca,3,0,,,,,,,1,,26/01/2020,17:30
Valladolid,RealMadrid,0,1,,,,,,,3,,26/01/2020,20:00
Granada,Espanol,2,1,,,,,,,1,,01/02/2020,12:00
RealMadrid,AthMadrid,1,0,,,,,,,1,,01/02/2020,15:00
Mallorca,Valladolid,0,1,,,,,,,3,,01/02/2020,17:30
Valencia,Celta,1,0,,,,,,,1,,01/02/2020,20:00
Leganes,Sociedad,2,1,,,,,,,1,,02/02/2020,11:00
Eibar,Betis,1,1,,,,,,,2,,02/02/2020,13:00
AthBilbao,Getafe,0,2,,,,,,,3,,02/02/2020,15:00
Sevilla,Alaves,1,1,,,,,,,2,,02/02/2020,17:30
Villarreal,Osasuna,3,1,,,,,,,1,,02/02/2020,17:30
Barcelona,Levante,2,1,,,,,,,1,,02/02/2020,20:00
Alaves,Eibar,2,1,,,,,,,1,,07/02/2020,20:00
Levante,Leganes,2,0,,,,,,,1,,08/02/2020,12:00
Getafe,Valencia,3,0,,,,,,,1,,08/02/2020,15:00
Valladolid,Villarreal,1,1,,,,,,,2,,08/02/2020,17:30
AthMadrid,Granada,1,0,,,,,,,1,,08/02/2020,20:00
Espanol,Mallorca,1,0,,,,,,,1,,09/02/2020,11:00
Sociedad,AthBilbao,2,1,,,,,,,1,,09/02/2020,13:00
Osasuna,RealMadrid,1,4,,,,,,,3,,09/02/2020,15:00
Celta,Sevilla,2,1,,,,,,,1,,09/02/2020,17:30
Betis,Barcelona,2,3,,,,,,,3,,09/02/2020,20:00
Valencia,AthMadrid,2,2,,,,,,,2,,14/02/2020,20:00
Mallorca,Alaves,1,0,,,,,,,1,,15/02/2020,12:00
Barcelona,Getafe,2,1,,,,,,,1,,15/02/2020,15:00
Villarreal,Levante,2,1,,,,,,,1,,15/02/2020,17:30
Granada,Valladolid,2,1,,,,,,,1,,15/02/2020,20:00
Sevilla,Espanol,2,2,,,,,,,2,,16/02/2020,11:00
Leganes,Betis,0,0,,,,,,,2,,16/02/2020,13:00
AthBilbao,Osasuna,0,1,,,,,,,3,,16/02/2020,17:30
RealMadrid,Celta,2,2,,,,,,,2,,16/02/2020,20:00
Betis,Mallorca,3,3,,,,,,,2,,21/02/2020,20:00
Celta,Leganes,1,0,,,,,,,1,,22/02/2020,12:00
Barcelona,Eibar,5,0,,,,,,,1,,22/02/2020,15:00
Sociedad,Valencia,3,0,,,,,,,1,,22/02/2020,17:30
Levante,RealMadrid,1,0,,,,,,,1,,22/02/2020,20:00
Osasuna,Granada,0,3,,,,,,,3,,23/02/2020,11:00
Alaves,AthBilbao,2,1,,,,,,,1,,23/02/2020,13:00
Valladolid,Espanol,2,1,,,,,,,1,,23/02/2020,15:00
Getafe,Sevilla,0,3,,,,,,,3,,23/02/2020,17:30
AthMadrid,Villarreal,3,1,,,,,,,1,,23/02/2020,20:00
Sociedad,Valladolid,1,0,,,,,,,1,,28/02/2020,20:00
Eibar,Levante,3,0,,,,,,,1,,29/02/2020,12:00
Valencia,Betis,2,1,,,,,,,1,,29/02/2020,15:00
Leganes,Alaves,1,1,,,,,,,2,,29/02/2020,17:30
Granada,Celta,0,0,,,,,,,2,,29/02/2020,20:00
Sevilla,Osasuna,3,2,,,,,,,1,,01/03/2020,11:00
AthBilbao,Villarreal,1,0,,,,,,,1,,01/03/2020,13:00
Espanol,AthMadrid,1,1,,,,,,,2,,01/03/2020,15:00
Mallorca,Getafe,0,1,,,,,,,3,,01/03/2020,17:30
RealMadrid,Barcelona,2,0,,,,,,,1,,01/03/2020,20:00
Alaves,Valencia,1,1,,,,,,,2,,06/03/2020,20:00
Eibar,Mallorca,1,2,,,,,,,3,,07/03/2020,12:00
