Gijon,Elche,1,0,,,,,,,1,,,,,,,,,14/01/2020,18:00
Malaga,Ponferradina,1,0,,,,,,,1,,,,,,,,,14/01/2020,19:00
LasPalmas,Zaragoza,0,1,,,,,,,3,,,,,,,,,14/01/2020,20:30
Alcorcon,Numancia,2,2,,,,,,,2,,,,,,,,,15/01/2020,18:00
Huesca,Tenerife,2,1,,,,,,,1,,,,,,,,,15/01/2020,18:00
Vallecano,Lugo,1,0,,,,,,,1,,,,,,,,,15/01/2020,19:00
Cadiz,Mirandes,3,3,,,,,,,2,,,,,,,,,15/01/2020,20:00
LaCoruna,Santander,2,1,,,,,,,1,,,,,,,,,16/01/2020,18:00
Girona,Extremadura,3,1,,,,,,,1,,,,,,,,,16/01/2020,19:00
Almeria,Oviedo,2,0,,,,,,,1,,,,,,,,,16/01/2020,20:00
Fuenlabrada,Malaga,0,0,,,,,,,2,,,,,,,,,17/01/2020,20:00
Numancia,Gijon,2,0,,,,,,,1,,,,,,,,,18/01/2020,15:00
Lugo,Albacete,1,0,,,,,,,1,,,,,,,,,18/01/2020,17:15
Ponferradina,Vallecano,1,1,,,,,,,2,,,,,,,,,18/01/2020,17:15
Elche,Alcorcon,1,1,,,,,,,2,,,,,,,,,19/01/2020,11:00
LaCoruna,Cadiz,1,0,,,,,,,1,,,,,,,,,19/01/2020,15:00
Oviedo,Huesca,1,1,,,,,,,2,,,,,,,,,19/01/2020,17:15
Santander,LasPalmas,1,1,,,,,,,2,,,,,,,,,19/01/2020,17:15
Extremadura,Almeria,1,2,,,,,,,3,,,,,,,,,19/01/2020,19:30
Tenerife,Girona,1,0,,,,,,,1,,,,,,,,,19/01/2020,19:30
Cadiz,Santander,1,0,,,,,,,1,,,,,,,,,24/01/2020,20:00
Huesca,Lugo,2,1,,,,,,,1,,,,,,,,,25/01/2020,15:00
Gijon,Fuenlabrada,1,0,,,,,,,1,,,,,,,,,25/01/2020,15:00
LasPalmas,Tenerife,0,0,,,,,,,2,,,,,,,,,25/01/2020,17:15
Zaragoza,Numancia,1,0,,,,,,,1,,,,,,,,,25/01/2020,20:00
Malaga,Mirandes,2,2,,,,,,,2,,,,,,,,,26/01/2020,11:00
Albacete,LaCoruna,0,1,,,,,,,3,,,,,,,,,26/01/2020,15:00
Almeria,Elche,0,2,,,,,,,3,,,,,,,,,26/01/2020,15:00
Alcorcon,Ponferradina,3,1,,,,,,,1,,,,,,,,,26/01/2020,17:15
Vallecano,Extremadura,1,1,,,,,,,2,,,,,,,,,26/01/2020,17:15
Girona,Oviedo,1,1,,,,,,,2,,,,,,,,,26/01/2020,19:30
Tenerife,Gijon,2,1,,,,,,,1,,,,,,,,,31/01/2020,20:00
Extremadura,Lugo,1,0,,,,,,,1,,,,,,,,,01/02/2020,15:00
LaCoruna,LasPalmas,2,1,,,,,,,1,,,,,,,,,01/02/2020,17:15
Ponferradina,Huesca,3,1,,,,,,,1,,,,,,,,,01/02/2020,17:15
Elche,Malaga,2,0,,,,,,,1,,,,,,,,,01/02/2020,20:00
Fuenlabrada,Girona,0,1,,,,,,,3,,,,,,,,,02/02/2020,11:00
Cadiz,Zaragoza,1,1,,,,,,,2,,,,,,,,,02/02/2020,15:00
Mirandes,Vallecano,0,0,,,,,,,2,,,,,,,,,02/02/2020,17:15
