Troyes,SaintEtienne,2,1,,,,3.46,3.3,2.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/10/17,,,3.22,,3.14,,2.31
Lyon,Monaco,3,2,,,,2.3,4.03,3.45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/10/17,,,2.1,,3.77,,3.15
Caen,Angers,0,2,,,,2.6,3.15,3.34,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/10/17,,,2.46,,3.03,,3.1
Dijon,PSG,1,2,,,,29,10,1.15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/10/17,,,20.64,,8.79,,1.12
Guingamp,Rennes,2,0,,,,2.18,3.45,3.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/10/17,,,2.13,,3.27,,3.55
Lille,Troyes,2,2,,,,1.65,4.02,6.76,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/10/17,,,1.58,,3.79,,6.12
SaintEtienne,Metz,3,1,,,,1.58,4.33,7.33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/10/17,,,1.53,,3.99,,6.53
Toulouse,Amiens,1,0,,,,1.85,3.5,5.98,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/10/17,,,1.78,,3.32,,5.08
Bordeaux,Nantes,1,1,,,,1.8,3.79,6.19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/10/17,,,1.67,,3.59,,5.54
Montpellier,Nice,2,0,,,,2.55,3.28,3.15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/10/17,,,2.43,,3.17,,3.01
Strasbourg,Marseille,3,3,,,,4.2,3.65,2.06,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/10/17,,,3.69,,3.48,,2
SaintEtienne,Montpellier,0,1,,,,2.25,3.25,3.92,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/10/17,,,2.19,,3.08,,3.63
Amiens,Bordeaux,1,0,,,,6.25,3.9,1.85,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/10/17,,,5.54,,3.69,,1.64
Angers,Toulouse,0,1,,,,2.1,3.39,4.43,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/10/17,,,1.99,,3.24,,4.02
Metz,Dijon,1,2,,,,2.84,3.35,2.85,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/10/17,,,2.67,,3.22,,2.67
Monaco,Caen,2,0,,,,1.4,5.5,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/10/17,,,1.34,,5.02,,8.63
Nantes,Guingamp,2,1,,,,2.18,3.3,4.03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/10/17,,,2.13,,3.16,,3.67
Rennes,Lille,1,0,,,,2.3,3.3,3.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/10/17,,,2.18,,3.23,,3.44
