Marseille,Nimes,1,2,None,None,None,2021-01-16T16:00:00Z
Angers,PSG,0,1,None,None,None,2021-01-16T20:00:00Z
Brest,Rennes,1,2,None,None,None,2021-01-17T12:00:00Z
Nice,Bordeaux,0,3,None,None,None,2021-01-17T14:00:00Z
Strasbourg,SaintEtienne,1,0,None,None,None,2021-01-17T14:00:00Z
Lille,Reims,2,1,None,None,None,2021-01-17T16:00:00Z
Nantes,Lens,1,1,None,None,None,2021-01-17T14:00:00Z
Marseille,Lens,0,1,None,None,None,2021-01-20T20:00:00Z
Lyon,Metz,0,1,None,None,None,2021-01-17T20:00:00Z
PSG,Montpellier,4,0,None,None,None,2021-01-22T20:00:00Z
Monaco,Marseille,3,1,None,None,None,2021-01-23T20:00:00Z
Bordeaux,Angers,2,1,None,None,None,2021-01-24T12:00:00Z
Lens,Nice,0,1,None,None,None,2021-01-23T16:00:00Z
Reims,Brest,1,0,None,None,None,2021-01-24T14:00:00Z
Dijon,Strasbourg,1,1,None,None,None,2021-01-24T14:00:00Z
Metz,Nantes,2,0,None,None,None,2021-01-24T14:00:00Z
Rennes,Lille,0,1,None,None,None,2021-01-24T16:00:00Z
Lorient,Dijon,3,2,None,None,None,2021-01-27T20:00:00Z
SaintEtienne,Lyon,0,5,None,None,None,2021-01-24T20:00:00Z
Lyon,Bordeaux,2,1,None,None,None,2021-01-29T20:00:00Z
Nice,SaintEtienne,0,1,None,None,None,2021-01-31T12:00:00Z
Montpellier,Lens,1,2,None,None,None,2021-01-30T16:00:00Z
Brest,Metz,2,4,None,None,None,2021-01-31T14:00:00Z
Strasbourg,Reims,0,1,None,None,None,2021-01-31T14:00:00Z
Angers,Nimes,3,1,None,None,None,2021-01-31T14:00:00Z
Lorient,PSG,3,2,None,None,None,2021-01-31T14:00:00Z
Lille,Dijon,1,0,None,None,None,2021-01-31T16:00:00Z
Nantes,Monaco,1,2,None,None,None,2021-01-31T20:00:00Z
Bordeaux,Lille,0,3,None,None,None,2021-02-03T18:00:00Z
Rennes,Lorient,1,1,None,None,None,2021-02-03T18:00:00Z
Metz,Montpellier,1,1,None,None,None,2021-02-03T18:00:00Z
Reims,Angers,0,0,None,None,None,2021-02-03T18:00:00Z
Strasbourg,Brest,2,2,None,None,None,2021-02-03T18:00:00Z
PSG,Nimes,3,0,None,None,None,2021-02-03T20:00:00Z
Dijon,Lyon,0,1,None,None,None,2021-02-03T20:00:00Z
SaintEtienne,Nantes,1,1,None,None,None,2021-02-03T20:00:00Z
Monaco,Nice,2,1,None,None,None,2021-02-03T20:00:00Z
Lens,Marseille,2,2,None,None,None,2021-02-03T20:00:00Z
Lorient,Reims,1,0,None,None,None,2021-02-06T16:00:00Z
Lyon,Strasbourg,3,0,None,None,None,2021-02-06T18:00:00Z
Lens,Rennes,0,0,None,None,None,2021-02-06T20:00:00Z
Brest,Bordeaux,2,1,None,None,None,2021-02-07T12:00:00Z
Montpellier,Dijon,4,2,None,None,None,2021-02-07T14:00:00Z
Nice,Angers,3,0,None,None,None,2021-02-07T14:00:00Z
SaintEtienne,Metz,1,0,None,None,None,2021-02-07T14:00:00Z
Nimes,Monaco,3,4,None,None,None,2021-02-07T14:00:00Z
Nantes,Lille,0,2,None,None,None,2021-02-07T16:00:00Z
Marseille,PSG,0,2,None,None,None,2021-02-07T20:00:00Z
PSG,Nice,2,1,None,None,None,2021-02-13T16:00:00Z
Lyon,Montpellier,1,2,None,None,None,2021-02-13T20:00:00Z
