Angers,PSG,-226.7203738,0.1720444073,0.1934411759,0.6345144167
Brest,Rennes,-46.24008707,0.2662536569,0.3862935564,0.3474527866
Nice,Bordeaux,24.571341580,0.3409466141,0.3630763422,0.2959770436
Strasbourg,SaintEtienne,13.755475237,0.3259559112,0.3729028911,0.3011411976
Lille,Reims,144.46267553,0.5996724039,0.1392573521,0.2610702439
Nantes,Lens,46.121134692,0.3760702195,0.3355491368,0.2883806436
Marseille,Lens,131.05987482,0.5692881097,0.1629908979,0.2677209923
Lyon,Metz,165.00182083,0.6418021341,0.1099436658,0.2482542000
PSG,Montpellier,250.64023936,0.7628035691,0.0569726410,0.1802237898
Monaco,Marseille,-42.77523166,0.2689065421,0.3871085034,0.3439849544
Bordeaux,Angers,-26.45230524,0.2824610630,0.3886196407,0.3289192962
Lens,Nice,-53.26980129,0.2610812837,0.3841459758,0.3547727404
Reims,Brest,126.74239470,0.5591050897,0.1713460753,0.2695488349
Dijon,Strasbourg,-33.86023161,0.2760795840,0.3884263284,0.3354940875
Metz,Nantes,21.545737110,0.3365862409,0.3660883562,0.2973254028
Rennes,Lille,9.3869992299,0.3203528342,0.3761455044,0.3035016613
Lorient,Dijon,33.664364140,0.3548759683,0.3527655617,0.2923584699
SaintEtienne,Lyon,-105.7871611,0.2289764028,0.3500463430,0.4209772541
Lyon,Bordeaux,122.22366183,0.5482852040,0.1804163090,0.2712984869
Nice,SaintEtienne,41.035135713,0.3671145558,0.3430084395,0.2898770046
Montpellier,Lens,89.663769856,0.4687899547,0.2514286237,0.2797814215
Brest,Metz,24.688360927,0.3411179473,0.3629556824,0.2959263702
Strasbourg,Reims,4.1164655480,0.3139143422,0.3795224763,0.3065631814
Angers,Nimes,57.571137171,0.3977727431,0.3166608103,0.2855664465
Lorient,PSG,-306.3955010,0.1328667047,0.0919490877,0.7751842075
Lille,Dijon,275.66851059,0.7867849258,0.0522673818,0.1609476923
Nantes,Monaco,8.4894059805,0.3192319824,0.3767615101,0.3040065074
Bordeaux,Lille,-96.60071827,0.2339574088,0.3580628496,0.4079797415
Rennes,Lorient,189.45220979,0.6844635411,0.0855407171,0.2299957417
Metz,Montpellier,-7.316949199,0.3010593579,0.3849299007,0.3140107413
Reims,Angers,30.019999623,0.3491415361,0.3571262900,0.2937321738
Strasbourg,Brest,104.68065221,0.5053641226,0.2180036483,0.2766322290
PSG,Nimes,315.38164097,0.8184683016,0.0483183447,0.1332133536
Dijon,Lyon,-214.9207213,0.1775297661,0.2107216338,0.6117486000
SaintEtienne,Nantes,81.844375272,0.4503371413,0.2685201475,0.2811427111
Monaco,Nice,38.834713983,0.3633699192,0.3460524440,0.2905776367
Lens,Marseille,-129.3871214,0.2169773605,0.3260583889,0.4569642505
Lorient,Reims,-60.38587158,0.2561069841,0.3813278291,0.3625651867
Lyon,Strasbourg,171.80674964,0.6544780822,0.1020896006,0.2434323171
Lens,Rennes,-120.2682152,0.2214965286,0.3358769198,0.4426265515
Brest,Bordeaux,6.6644188189,0.3169841953,0.3779619185,0.3050538861
Montpellier,Dijon,157.78476109,0.6276565213,0.1192621285,0.2530813501
Nice,Angers,1.0988759951,0.3103787479,0.3811996512,0.3084216008
SaintEtienne,Metz,21.074289343,0.3359187463,0.3665390895,0.2975421641
Nimes,Monaco,-60.30132070,0.2561646520,0.3813649845,0.3624703634
Nantes,Lille,-120.1980494,0.2215318209,0.3359498735,0.4425183055
Marseille,PSG,-159.9509617,0.2025611382,0.2887718974,0.5086669643
PSG,Nice,235.16723511,0.7460089918,0.0613157390,0.1926752691
Lyon,Montpellier,148.53541497,0.6084783850,0.1327559692,0.2587656457
Monaco,Lorient,182.41149020,0.6729820224,0.0915267479,0.2354912296
Reims,Lens,57.508388702,0.3976480467,0.3167718924,0.2855800608
Rennes,SaintEtienne,92.268277277,0.4750497594,0.2456518653,0.2792983752
Angers,Nantes,62.501113162,0.4077632523,0.3076889021,0.2845478455
Dijon,Nimes,-5.423399834,0.3030895657,0.3842092794,0.3127011548
Metz,Strasbourg,27.219913033,0.3448743044,0.3602689587,0.2948567368
